judul,link,keyword
"Bubu Nelayan Anambas Hancur Dihantam Kapal Vietnam, Nelayan: Kemana Kapal Patroli Indonesia?",https://www.tempo.co/internasional/bubu-nelayan-anambas-hancur-dihantam-kapal-vietnam-nelayan-kemana-kapal-patroli-indonesia--1222976,efisiensi anggaran
"Bisnis Perhotelan Terancam Lesu, Sandiaga Minta Pemerintah Tetap Berkegiatan di Hotel Meski Efisiensi Anggaran",https://www.tempo.co/ekonomi/bisnis-perhotelan-terancam-lesu-sandiaga-minta-pemerintah-tetap-berkegiatan-di-hotel-meski-efisiensi-anggaran-1222571,efisiensi anggaran
Polisi Kanada Tangkap Aktivis Lingkungan karena Merusak Dealer Tesla,https://www.tempo.co/internasional/polisi-kanada-tangkap-aktivis-lingkungan-karena-merusak-dealer-tesla-1222004,efisiensi anggaran
Profil VOA Media Penyiaran yang Dibekukan Donald Trump,https://www.tempo.co/internasional/profil-voa-media-penyiaran-yang-dibekukan-donald-trump--1220997,efisiensi anggaran
Profil Fairmont Hotel yang Digunakan DPR Menggelar Rapat Tertutup tentang RUU TNI,https://www.tempo.co/ekonomi/profil-fairmont-hotel-yang-digunakan-dpr-menggelar-rapat-tertutup-tentang-ruu-tni-1220530,efisiensi anggaran
"Pengusaha Pusat Perbelanjaan Sebut Efisiensi Anggaran Bisa Berdampak ke Sektor Ritel, Kenapa?",https://www.tempo.co/ekonomi/pengusaha-pusat-perbelanjaan-sebut-efisiensi-anggaran-bisa-berdampak-ke-sektor-ritel-kenapa--1219899,efisiensi anggaran
Alasan Mendagri Siapkan Tim Blusukan Cek Efisiensi Anggaran Daerah,https://www.tempo.co/politik/alasan-mendagri-siapkan-tim-blusukan-cek-efisiensi-anggaran-daerah-1219311,efisiensi anggaran
"Imbas Pemangkasan Anggaran, Kemenag Terapkan WFH Setiap Jumat",https://www.tempo.co/politik/imbas-pemangkasan-anggaran-kemenag-terapkan-wfh-setiap-jumat-1217463,efisiensi anggaran
Strategi Pelaku Industri Perhotelan untuk Menyiasati Dampak Pemangkasan Anggaran Pemerintah,https://www.tempo.co/ekonomi/strategi-pelaku-industri-perhotelan-untuk-menyiasati-dampak-pemangkasan-anggaran-pemerintah-1216781,efisiensi anggaran
"Darurat Banjir, BNPB Pastikan Dana Siap Pakai Tak Terdampak Efisiensi Anggaran",https://www.tempo.co/ekonomi/darurat-banjir-bnpb-pastikan-dana-siap-pakai-tak-terdampak-efisiensi-anggaran-1216205,efisiensi anggaran
Apakah Ada Pendaftaran CPNS di 2025?,https://www.tempo.co/ekonomi/apakah-ada-pendaftaran-cpns-di-2025--1503801,CPNS 2025
"Ribuan CPNS Mundur karena Optimalisasi, Kemenpan RB Ingatkan Pelamar Siap Ditempatkan di Mana pun",https://www.tempo.co/politik/ribuan-cpns-mundur-karena-optimalisasi-kemenpan-rb-ingatkan-pelamar-siap-ditempatkan-di-mana-pun-1294744,CPNS 2025
Fakta-fakta 1.967 CASN Mengundurkan Diri Usai Lolos Seleksi,https://www.tempo.co/politik/fakta-fakta-1-967-casn-mengundurkan-diri-usai-lolos-seleksi-1279404,CPNS 2025
Kepala BKN Ungkap Lima Alasan 1.967 CPNS Mundur,https://www.tempo.co/politik/kepala-bkn-ungkap-lima-alasan-1-967-cpns-mundur-1277525,CPNS 2025
"1.967 CASN Mundur, Puan: Sistem Rekrutmen Harus Beradaptasi dengan Zaman",https://www.tempo.co/video/arsip/1-967-casn-mundur-puan-sistem-rekrutmen-harus-beradaptasi-dengan-zaman-1267344,CPNS 2025
Menpan RB soal 700 Dosen CPNS Mundur: Mayoritas karena Penempatan,https://www.tempo.co/politik/menpan-rb-soal-700-dosen-cpns-mundur-mayoritas-karena-penempatan-1231866,CPNS 2025
Jadwal Terbaru Penetapan NIP CPNS dan PPPK 2024,https://www.tempo.co/politik/jadwal-terbaru-penetapan-nip-cpns-dan-pppk-2024-1222090,CPNS 2025
"Pemda Diminta Segera Angkat CPNS 2024, Anggota DPR: Tak Ada Alasan Memperlambat",https://www.tempo.co/politik/pemda-diminta-segera-angkat-cpns-2024-anggota-dpr-tak-ada-alasan-memperlambat-1221575,CPNS 2025
Serba-serbi Terbaru Pengangkatan CPNS 2024 Dijamin Pemerintah,https://www.tempo.co/ekonomi/serba-serbi-terbaru-pengangkatan-cpns-2024-dijamin-pemerintah-1221402,CPNS 2025
Rifqinizamy Karsayuda Apresiasi Pemerintah yang Mempercepat Pengangkatan CASN 2024,https://www.tempo.co/info-tempo/rifqinizamy-karsayuda-apresiasi-pemerintah-yang-mempercepat-pengangkatan-casn-2024--1221209,CPNS 2025
"Maju-Mundur Pengangkatan CPNS 2024, Mulai April, Oktober, hingga Juni 2025",https://www.tempo.co/ekonomi/maju-mundur-pengangkatan-cpns-2024-mulai-april-oktober-hingga-juni-2025--1221117,CPNS 2025
"Pemerintah Percepat Pengangkatan CPNS, Instansi yang Siap Bisa Mulai Bulan Depan",https://www.tempo.co/politik/pemerintah-percepat-pengangkatan-cpns-instansi-yang-siap-bisa-mulai-bulan-depan-1221032,CPNS 2025
"Kilas Balik Polemik Pengangkatan CPNS dan PPPK: Ditunda, Diprotes, lalu Dipercepat",https://www.tempo.co/politik/kilas-balik-polemik-pengangkatan-cpns-dan-pppk-ditunda-diprotes-lalu-dipercepat-1220963,CPNS 2025
Terpopuler Nasional: Petisi Tolak RUU TNI hingga Pengangkatan CPNS dan PPPK Dipercepat,https://www.tempo.co/politik/terpopuler-nasional-petisi-tolak-ruu-tni-hingga-pengangkatan-cpns-dan-pppk-dipercepat--1220943,CPNS 2025
Ragam Respons atas Percepatan Pengangkatan CPNS dan PPPK,https://www.tempo.co/politik/ragam-respons-atas-percepatan-pengangkatan-cpns-dan-pppk-1220874,CPNS 2025
Menteri PANRB: 213 Instansi Mengajukan Penundaan Pengangkatan ASN,https://www.tempo.co/politik/menteri-panrb-213-instansi-mengajukan-penundaan-pengangkatan-asn-1220714,CPNS 2025
"Menteri Sekretaris Negara: Pengangkatan CPNS 2024 Paling Lambat Juni, PPPK Oktober 2025",https://www.tempo.co/video/arsip/menteri-sekretaris-negara-pengangkatan-cpns-2024-paling-lambat-juni-pppk-oktober-2025-1220669,CPNS 2025
"Menteri Sekretaris Negara: Pengangkatan CPNS 2024 Paling Lambat Juni, PPPK Oktober 2025",https://www.tempo.co/politik/menteri-sekretaris-negara-pengangkatan-cpns-2024-paling-lambat-juni-pppk-oktober-2025-1220629,CPNS 2025
Revisi UU TNI Mengembalikan Dwifungsi Tentara,https://www.tempo.co/politik/revisi-uu-tni-dwifungsi-tentara-1220193,CPNS 2025
"Mengadu ke Ombudsman, Munir Dkk Identifikasi 20 Persoalan Akibat Penundaan Pengangkatan CASN",https://www.tempo.co/hukum/mengadu-ke-ombudsman-munir-dkk-identifikasi-20-persoalan-akibat-penundaan-pengangkatan-casn-1220075,CPNS 2025
Kemensos Ajak Bank Dunia Tngani Pengentasan Kemiskinan,https://www.tempo.co/foto/arsip/kemensos-ajak-bank-dunia-tngani-pengentasan-kemiskinan-1181562,kemiskinan world bank
"Bank Dunia Sarankan Indonesia Ubah Garis Kemiskinan, Pengamat: Pemerintah Jangan Denial",https://www.tempo.co/ekonomi/bank-dunia-sarankan-indonesia-ubah-garis-kemiskinan-pengamat-pemerintah-jangan-denial-187881,kemiskinan world bank
World Bank: Sektor Pertanian Dorong Penanggulangan Kemiskinan Ekstrem,https://www.tempo.co/info-tempo/world-bank-sektor-pertanian-dorong-penanggulangan-kemiskinan-ekstrem-189139,kemiskinan world bank
"Hapus Kemiskinan Ekstrem, PUPR dan Bank Dunia Garap Program Bantuan Rumah Layak Huni",https://www.tempo.co/ekonomi/hapus-kemiskinan-ekstrem-pupr-dan-bank-dunia-garap-program-bantuan-rumah-layak-huni-267543,kemiskinan world bank
Anggota DPR: Batas Garis Kemiskinan Perlu Ditinjau Ulang,https://www.tempo.co/info-tempo/anggota-dpr-batas-garis-kemiskinan-perlu-ditinjau-ulang-280053,kemiskinan world bank
Bagaimana Cara Mengukur Angka Kemiskinan? Begini Menurut BPS,https://www.tempo.co/ekonomi/bagaimana-cara-mengukur-angka-kemiskinan-begini-menurut-bps-280479,kemiskinan world bank
"Jika RI Tak Ikuti Standar Garis Kemiskinan Bank Dunia, Apa Konsekuensinya?",https://www.tempo.co/ekonomi/jika-ri-tak-ikuti-standar-garis-kemiskinan-bank-dunia-apa-konsekuensinya--280596,kemiskinan world bank
"Bank Dunia Sebut 13 Juta Warga Miskin Baru di Indonesia, Kok Bisa?",https://www.tempo.co/ekonomi/bank-dunia-sebut-13-juta-warga-miskin-baru-di-indonesia-kok-bisa--280657,kemiskinan world bank
"Dampak Garis Kemiskinan Bank Dunia Direvisi, Jumlah Penduduk Miskin Indonesia dan Cina Melesat",https://www.tempo.co/ekonomi/dampak-garis-kemiskinan-bank-dunia-direvisi-jumlah-penduduk-miskin-indonesia-dan-cina-melesat-281458,kemiskinan world bank
"Berdiri Pasca Perang Dunia II, Apa Peran Bank Dunia Sekarang?",https://www.tempo.co/ekonomi/berdiri-pasca-perang-dunia-ii-apa-peran-bank-dunia-sekarang--440651,kemiskinan world bank
"76 Tahun Bank Dunia, Targetnya Akhiri Kemiskinan Ekstrem 2030",https://www.tempo.co/ekonomi/76-tahun-bank-dunia-targetnya-akhiri-kemiskinan-ekstrem-2030-440807,kemiskinan world bank
"World Bank: Kemiskinan Terendah di Jakarta, Tertinggi di Papua",https://www.tempo.co/ekonomi/world-bank-kemiskinan-terendah-di-jakarta-tertinggi-di-papua--696871,kemiskinan world bank
Bank Dunia: Urbanisasi Naik 1 Persen Turunkan Kemiskinan 1 Persen,https://www.tempo.co/ekonomi/bank-dunia-urbanisasi-naik-1-persen-turunkan-kemiskinan-1-persen-699974,kemiskinan world bank
"Ekonom Sebutkan Tiga Pilar Utama Atasi Ketimpangan, Apa Saja &nbsp;",https://www.tempo.co/ekonomi/ekonom-sebutkan-tiga-pilar-utama-atasi-ketimpangan-apa-saja-nbsp--1273690,kemiskinan world bank
