judul,link
Prabowo dan Bill Gates Tinjau Program Makan Bergizi Gratis di SD Negeri ,https://www.tempo.co/video/arsip/prabowo-dan-bill-gates-tinjau-program-makan-bergizi-gratis-di-sd-negeri--1364450
Alasan Bill Gates Terkesan dengan Program Makan Bergizi Gratis,https://www.tempo.co/politik/alasan-bill-gates-terkesan-dengan-program-makan-bergizi-gratis-1364355
"Prabowo soal Keracunan MBG, dari Siswa Tak Cuci Tangan hingga Tak Pakai Sendok",https://www.tempo.co/ekonomi/prabowo-soal-keracunan-mbg-dari-siswa-tak-cuci-tangan-hingga-tak-pakai-sendok-1364281
"Temui Bill Gates, Prabowo Didampingi Sejumlah Konglomerat Indonesia",https://www.tempo.co/politik/temui-bill-gates-prabowo-didampingi-sejumlah-konglomerat-indonesia-1364267
"Presiden Prabowo Akan Terima Bill Gates di Istana Hari ini, Bahas MBG",https://www.tempo.co/politik/presiden-prabowo-akan-terima-bill-gates-di-istana-hari-ini-bahas-mbg-1364217
"Berkukuh tidak Tilap Dana Makan Bergizi Gratis, Yayasan MBN: Laporan Polisi Berlebihan",https://www.tempo.co/hukum/berkukuh-tidak-tilap-dana-makan-bergizi-gratis-yayasan-mbn-laporan-polisi-berlebihan-1361291
BGN akan Alokasikan Rp 6 Triliun untuk Bangun 1.542 SPPG Makan Bergizi Gratis,https://www.tempo.co/ekonomi/bgn-akan-alokasikan-rp-6-triliun-untuk-bangun-1-542-sppg-makan-bergizi-gratis-1354482
BGN akan Tambah 219 SPPG Makan Bergizi Gratis per 14 Mei,https://www.tempo.co/politik/bgn-akan-tambah-219-sppg-makan-bergizi-gratis-per-14-mei-1354311
"Keracunan MBG Terus Berulang, Begini Kata Prabowo dan Kepala BGN",https://www.tempo.co/politik/keracunan-mbg-terus-berulang-begini-kata-prabowo-dan-kepala-bgn-1354255
"Siswa Keracunan MBG, Prabowo Singgung Siswa Makan Tak Pakai Sendok",https://www.tempo.co/politik/siswa-keracunan-mbg-prabowo-singgung-siswa-makan-tak-pakai-sendok-1344592
BPOM Minta Puskesmas Turut Mitigasi Keracunan Makan Bergizi Gratis,https://www.tempo.co/ekonomi/bpom-minta-puskesmas-turut-mitigasi-keracunan-makan-bergizi-gratis-1334402
BGN Kerja Sama dengan Universitas Pertahanan untuk Didik 30 Ribu Kepala SPPG,https://www.tempo.co/hukum/bgn-kerja-sama-dengan-universitas-pertahanan-untuk-didik-30-ribu-kepala-sppg-1324661
Prabowo: Hilangkan Pola Pikir Kumaha Engke,https://www.tempo.co/politik/prabowo-hilangkan-pola-pikir-kumaha-engke--1314768
"Prabowo Bilang Alokasi APBN Paling Besar untuk Pendidikan, Mencapai 22 Persen",https://www.tempo.co/politik/prabowo-bilang-alokasi-apbn-paling-besar-untuk-pendidikan-mencapai-22-persen-1314665
Makan Bergizi Gratis dalam Pusaran Kapitalisme Kroni,https://www.tempo.co/kolom/kapitalisme-kroni-pada-program-mbg-1268498
Jawaban Yayasan MBN soal Penyelewengan Anggaran Makan Bergizi Gratis,https://www.tempo.co/politik/jawaban-yayasan-mbn-soal-penyelewengan-anggaran-makan-bergizi-gratis--1247648
Ketahui 6 Bakteri Biang Penyebab Keracunan Makanan,https://www.tempo.co/gaya-hidup/ketahui-6-bakteri-biang-penyebab-keracunan-makanan-1247647
Kemendagri Minta Kepala Daerah Rutin Evaluasi Program MBG,https://www.tempo.co/politik/kemendagri-minta-kepala-daerah-rutin-evaluasi-program-mbg-1247640
BGN Pertimbangkan Dapur Makan Bergizi Gratis Dikelola Kantin Sekolah,https://www.tempo.co/politik/bgn-pertimbangkan-dapur-makan-bergizi-gratis-dikelola-kantin-sekolah-1247559
Dua Saran BGN ke Dapur Usai Siswa di Cianjur Keracunan Makan Bergizi Gratis,https://www.tempo.co/politik/dua-saran-bgn-ke-dapur-usai-siswa-di-cianjur-keracunan-makan-bergizi-gratis-1247450
Sejumlah Daerah yang Laporkan Kasus Keracunan Makan Bergizi Gratis,https://www.tempo.co/politik/sejumlah-daerah-yang-laporkan-kasus-keracunan-makan-bergizi-gratis-1247446
Kata Mendikdasmen soal Puluhan Siswa di Cianjur Keracunan Makan Bergizi Gratis,https://www.tempo.co/politik/kata-mendikdasmen-soal-puluhan-siswa-di-cianjur-keracunan-makan-bergizi-gratis-1237551
"BGN Masih Menunggu Hasil Lab, Usai Puluhan Siswa di Cianjur Diduga Keracunan Makanan MBG",https://www.tempo.co/ekonomi/bgn-masih-menunggu-hasil-lab-usai-puluhan-siswa-di-cianjur-diduga-keracunan-makanan-mbg-1234870
Pengelola SPPG Limbangsari Diperiksa setelah Keracunan MBG di Cianjur,https://www.tempo.co/politik/pengelola-sppg-limbangsari-diperiksa-setelah-keracunan-mbg-di-cianjur-1234771
"Prabowo, Luhut, dan Zulkifli Hasan Menolak Narasi Indonesia Gelap",https://www.tempo.co/politik/prabowo-luhut-dan-zulkifli-hasan-menolak-narasi-indonesia-gelap-1234757
Prabowo Klaim Program MBG untuk Ibu Hamil Satu-satunya di Dunia,https://www.tempo.co/politik/prabowo-klaim-program-mbg-untuk-ibu-hamil-satu-satunya-di-dunia-1234729
Belasan Siswa SMP PGRI Cianjur Diduga Keracunan Santapan MBG,https://www.tempo.co/politik/belasan-siswa-smp-pgri-cianjur-diduga-keracunan-santapan-mbg-1234227
Gaji Pekerja MBG Tidak Dipotong untuk BPJS Ketenagakerjaan,https://www.tempo.co/ekonomi/gaji-pekerja-mbg-tidak-dipotong-untuk-bpjs-ketenagakerjaan-1234166
BGN Ubah Mekanisme Pendanaan Program Makan Bergizi Gratis,https://www.tempo.co/politik/bgn-ubah-mekanisme-pendanaan-program-makan-bergizi-gratis-1233926
Ragam Keluhan Mitra MBG: Menalangi Biaya hingga Jual Barang Pribadi,https://www.tempo.co/politik/ragam-keluhan-mitra-mbg-menalangi-biaya-hingga-jual-barang-pribadi-1233579
Yayasan Balik Menagih Utang Rp 400 Juta ke Mitra Dapur MBG,https://www.tempo.co/hukum/yayasan-balik-menagih-utang-rp-400-juta-ke-mitra-dapur-mbg--1233427
Polisi Mulai Usut Tunggakan Pembayaran ke Mitra Dapur MBG,https://www.tempo.co/hukum/polisi-mulai-usut-tunggakan-pembayaran-ke-mitra-dapur-mbg--1233386
Makan Bergizi Gratis buat Handai Tolan,https://www.tempo.co/kolom/makan-bergizi-gratis-kroni-prabowo-1233280
"Cara Jepang, Amerika, Swedia Menjalankan Makan Siang Gratis",https://www.tempo.co/investigasi/makan-siang-gratis-negara-lain-1233248
Program MBG di Papua Pegunangan Hanya untuk Sekolah Berasrama,https://www.tempo.co/politik/program-mbg-di-papua-pegunangan-hanya-untuk-sekolah-berasrama-1232478
Mitra Makan Bergizi Gratis Belum Dibayar di Kalibata Beroperasi Lagi Hari Ini,https://www.tempo.co/politik/mitra-makan-bergizi-gratis-belum-dibayar-di-kalibata-beroperasi-lagi-hari-ini-1232264
Mengapa Proyek Makan Bergizi Gratis Kisruh Melulu,https://www.tempo.co/politik/kocar-kacir-makan-bergizi-gratis-1232225
BGN Mediasi Sengketa Pembayaran Mitra MBG dan Yayasan di SPPG Kalibata,https://www.tempo.co/politik/bgn-mediasi-sengketa-pembayaran-mitra-mbg-dan-yayasan-di-sppg-kalibata-1232007
Mitra Dapur Makan Bergizi Gratis Bakal Lapor ke Polisi Karena Belum Dibayar Sepeser Pun,https://www.tempo.co/video/arsip/mitra-dapur-makan-bergizi-gratis-bakal-lapor-ke-polisi-karena-belum-dibayar-sepeser-pun-1231961
Mitra Dapur Makan Bergizi Gratis Ungkap Ada Perbedaan Harga per Porsi untuk PAUD Hingga Kelas 3 SD,https://www.tempo.co/hukum/mitra-dapur-makan-bergizi-gratis-ungkap-ada-perbedaan-harga-per-porsi-untuk-paud-hingga-kelas-3-sd--1231794
Mitra Dapur Makan Bergizi Gratis Bakal Lapor ke Polisi Karena Belum Dibayar Sepeser Pun,https://www.tempo.co/hukum/mitra-dapur-makan-bergizi-gratis-bakal-lapor-ke-polisi-karena-belum-dibayar-sepeser-pun-1231791
Menteri Wihaji Suapi Anak-anak saat Tinjau Pemberian MBG,https://www.tempo.co/foto/arsip/menteri-wihaji-suapi-anak-anak-saat-tinjau-pemberian-mbg-1231525
Pelaksanan Makan Bergizi Gratis di SMA Kota Bandung,https://www.tempo.co/foto/arsip/pelaksanan-makan-bergizi-gratis-di-sma-kota-bandung-1231092
Mensos Bicara Sinergi Sekolah Rakyat dengan MBG,https://www.tempo.co/politik/mensos-bicara-sinergi-sekolah-rakyat-dengan-mbg--1229340
Kepala BGN: Makan Bergizi Gratis Bakal Gunakan Anggaran Rp 1 Triliun per Hari pada November 2025,https://www.tempo.co/video/arsip/kepala-bgn-makan-bergizi-gratis-bakal-gunakan-anggaran-rp-1-triliun-per-hari-pada-november-2025-1229192
Dadan Hindayana Sebut Makan Bergizi Gratis Bakal Gunakan Anggaran Rp 1 Triliun per Hari pada November 2025,https://www.tempo.co/ekonomi/dadan-hindayana-sebut-makan-bergizi-gratis-bakal-gunakan-anggaran-rp-1-triliun-per-hari-pada-november-2025-1228929
Jalan Terjal Membangun Kepercayaan Publik,https://www.tempo.co/kolom/kepercayaan-publik-terhadap-pemerintah-1228204
Ferry Latuhihin: Kebijakan Ekonomi Indonesia Koplaknomics,https://www.tempo.co/wawancara/ferry-latuhihin-danantara-mbg-1225830
Siswa Sekolah Rakyat Akan Mendapat Makan Bergizi Gratis Satu Kali,https://www.tempo.co/politik/siswa-sekolah-rakyat-akan-mendapat-makan-bergizi-gratis-satu-kali-1225147
Cerita Staf SPPG Makan Bergizi Gratis Jual Motor karena Gaji Belum Dibayar,https://www.tempo.co/politik/cerita-staf-sppg-makan-bergizi-gratis-jual-motor-karena-gaji-belum-dibayar-1224322
"Bertemu Presiden New Development Bank, Airlangga Pamerkan Program Makan Bergizi Gratis",https://www.tempo.co/ekonomi/bertemu-presiden-new-development-bank-airlangga-pamerkan-program-makan-bergizi-gratis-1224213
