,judul_berita,waktu_upload,link_berita
36,"Video: Bengkulu Alami Kelangkaan BBM, Gibran Minta Maaf ke Warga",4 jam yang lalu,https://20.detik.com/detikupdate/20250528-250528048/video-bengkulu-alami-kelangkaan-bbm-gibran-minta-maaf-ke-warga
37,Video Presiden Prancis Macron Puji Indonesia: Negara yang Sangat Indah,4 jam yang lalu,https://20.detik.com/detikupdate/20250528-250528047/video-presiden-prancis-macron-puji-indonesia-negara-yang-sangat-indah
38,TNI AD Pastikan Tak Akan Libatkan Warga Sipil Saat Pemusnahan Amunisi,4 jam yang lalu,https://news.detik.com/berita/d-7936338/tni-ad-pastikan-tak-akan-libatkan-warga-sipil-saat-pemusnahan-amunisi
39,Depok Tak Lagi Juru Kunci di Indeks Kota Toleran,4 jam yang lalu,https://news.detik.com/berita/d-7936337/depok-tak-lagi-juru-kunci-di-indeks-kota-toleran
40,"Remaja Tewas Dibacok di Kawasan JIS, 8 Orang Ditangkap",4 jam yang lalu,https://news.detik.com/berita/d-7936334/remaja-tewas-dibacok-di-kawasan-jis-8-orang-ditangkap
41,5 Fakta Pabrik Skincare Palsu di Bekasi Ternyata Bahan Bakunya Tapioka,4 jam yang lalu,https://news.detik.com/berita/d-7936328/5-fakta-pabrik-skincare-palsu-di-bekasi-ternyata-bahan-bakunya-tapioka
42,Momen Presiden Macron dan Istri Gandengan Turun dari Pesawat Saat Tiba di RI,5 jam yang lalu,https://news.detik.com/berita/d-7936325/momen-presiden-macron-dan-istri-gandengan-turun-dari-pesawat-saat-tiba-di-ri
43,"Video: SPBU di Yogyakarta Kebakaran, Sempat Terjadi Ledakan",5 jam yang lalu,https://20.detik.com/detikupdate/20250528-250528046/video-spbu-di-yogyakarta-kebakaran-sempat-terjadi-ledakan
44,Video: Momen Gibran Cek SPBU di Bengkulu Buntut Kelangkaan BBM,6 jam yang lalu,https://20.detik.com/detikupdate/20250528-250528045/-video-momen-gibran-cek-spbu-di-bengkulu-buntut-kelangkaan-bbm
45,"Usai Bertemu Prabowo, Macron Akan Berkunjung ke Borobudur-Akmil Megelang",6 jam yang lalu,https://news.detik.com/berita/d-7936316/usai-bertemu-prabowo-macron-akan-berkunjung-ke-borobudur-akmil-megelang
46,Video: Pimpinan DPD Minta Prabowo Beri Solusi Atasi Konflik di Papua,6 jam yang lalu,https://20.detik.com/detikupdate/20250528-250528044/video-pimpinan-dpd-minta-prabowo-beri-solusi-atasi-konflik-di-papua
47,Menag Sorot Masalah Pasutri Beda Hotel Saat Haji: Sudah Bisa Kita Atasi,7 jam yang lalu,https://news.detik.com/berita/d-7936312/menag-sorot-masalah-pasutri-beda-hotel-saat-haji-sudah-bisa-kita-atasi
48,Video: Tangis Warga Gaza Kehilangan Keluarga-Kerabat saat Digempur Israel,7 jam yang lalu,https://20.detik.com/detikupdate/20250528-250528043/video-tangis-warga-gaza-kehilangan-keluarga-kerabat-saat-digempur-israel
49,Prabowo-Macron Akan Bahas Kerja Sama Pesawat Tempur-Kapal Selam,7 jam yang lalu,https://news.detik.com/berita/d-7936309/prabowo-macron-akan-bahas-kerja-sama-pesawat-tempur-kapal-selam
