judul,link,desc,tanggal,kategori,keyword
UAD Jadi Penerima Hibah Penelitian Terbanyak Kemendikti Saintek 2025,https://www.detik.com/jogja/jogja-kerta/d-7935297/uad-jadi-penerima-hibah-penelitian-terbanyak-kemendikti-saintek-2025,Universitas Ahmad Dahlan sukses pertahankan posisi sebagai perguruan tinggi swasta penerima hibah penelitian terbanyak dari DPPM Kemendikti Saintek tahun 2025.,7 menit yang lalu,detikJogja,CPNS 2025
"Klasemen Pebalap Usai MotoGP Inggris 2025, Bezzecchi Melesat",https://oto.detik.com/otosport/d-7935082/klasemen-pebalap-usai-motogp-inggris-2025-bezzecchi-melesat,Marco Bezzecchi yang menjuarai MotoGP Inggris 2025 berhasil melesat naik tiga tingkat di klasemen sementara MotoGP 2025.,1 jam yang lalu,detikOto,CPNS 2025
"Niat Puasa Dzulhijjah, Tarwiyah, dan Arafah 2025 Lengkap Arab-Latinnya",https://www.detik.com/sulsel/berita/d-7935130/niat-puasa-dzulhijjah-tarwiyah-dan-arafah-2025-lengkap-arab-latinnya,"Umat muslim dianjurkan melaksankan puasa sunnah sebelum Idul Adha 2025. Simak di sini niat puasa Dulhijjah, Tarwiyah, dan Arafah selengkapnya!",59 menit yang lalu,detikSulsel,CPNS 2025
"Ada Cuti Bersama Kenaikan Yesus Kristus 2025, Ini Tanggalnya!",https://news.detik.com/berita/d-7934969/ada-cuti-bersama-kenaikan-yesus-kristus-2025-ini-tanggalnya,"Long weekend minggu ini mencakup libur nasional dan cuti bersama Kenaikan Yesus Kristus 2025 beserta libur akhir pekan. Supaya tidak salah tanggal, cek infonya!",2 jam yang lalu,detikNews,CPNS 2025
MotoGP 2025: Bastianini Merasa Dirinya Rider Terjelek di Trek,https://sport.detik.com/moto-gp/d-7934837/motogp-2025-bastianini-merasa-dirinya-rider-terjelek-di-trek,"Rider KTM Tech3, Enea Bastianini, tak kunjung menunjukkan performa terbaik. Dia merasa menjadi pebalap terburuk di trek MotoGP saat ini.",1 jam yang lalu,detikSport,CPNS 2025
Sidang Isbat Idul Adha 2025 Jam Berapa? Ini Jadwalnya,https://www.detik.com/hikmah/khazanah/d-7934910/sidang-isbat-idul-adha-2025-jam-berapa-ini-jadwalnya,Sidang isbat Idul Adha 2025 akan dilaksanakan pada Selasa sore. Kapan jam pastinya?,2 jam yang lalu,detikHikmah,CPNS 2025
"Pendaftaran CPNS 2025, Begini Cara Bikin Akun di sscasn.bkn.go.id",https://www.detik.com/jatim/berita/d-7860607/pendaftaran-cpns-2025-begini-cara-bikin-akun-di-sscasn-bkn-go-id,Pendaftaran CPNS 2025 segera dibuka! Siapkan dokumen dan buat akun di SSCASN untuk mengikuti seleksi. Dapatkan informasi lengkapnya di sini,"Rabu, 09 Apr 2025 13:30 WIB",detikJatim,CPNS 2025
Kapan Pendaftaran CPNS 2025 Dibuka? Simak Informasinya di Sini,https://www.detik.com/edu/detikpedia/d-7808927/kapan-pendaftaran-cpns-2025-dibuka-simak-informasinya-di-sini,Menteri PAN-RB sebut peluang dibukanya CPNS 2025 di Kementerian/Lembaga. Ada berapa lowongan?,"Kamis, 06 Mar 2025 08:30 WIB",detikEdu,CPNS 2025
"Embarkasi Palembang Sisakan 2 Kloter, Terakhir Terbang 29 Mei 2025",https://www.detik.com/sumbagsel/berita/d-7934680/embarkasi-palembang-sisakan-2-kloter-terakhir-terbang-29-mei-2025,Dua kloter Embarkasi Palembang yang belum berangkat ke Tanah Suci ada 2 kloter yakni sebanyak 740 jemaah haji dengan 8 di antaranya petugas kloter.,3 jam yang lalu,detikSumbagsel,CPNS 2025
"Embarkasi Palembang Sisakan 2 Kloter, Terakhir Terbang 29 Mei 2025",https://www.detik.com/sumbagsel/berita/d-7934680/embarkasi-palembang-sisakan-2-kloter-terakhir-terbang-29-mei-2025,Dua kloter Embarkasi Palembang yang belum berangkat ke Tanah Suci ada 2 kloter yakni sebanyak 740 jemaah haji dengan 8 di antaranya petugas kloter.,3 jam yang lalu,detikSumbagsel,CPNS 2025
Cuti Bersama Idul Adha 2025 Tanggal Berapa Saja? Simak Informasinya!,https://www.detik.com/jateng/berita/d-7934868/cuti-bersama-idul-adha-2025-tanggal-berapa-saja-simak-informasinya,"Cuti bersama Idul Adha 2025 tanggal berapa saja? Yuk, simak informasi lengkapnya untuk rencanakan liburan!",2 jam yang lalu,detikJateng,CPNS 2025
"Niat-Jadwal Puasa Dzulhijjah, Tarwiyah, dan Arafah 2025, Yuk Amalkan!",https://www.detik.com/sulsel/berita/d-7934888/niat-jadwal-puasa-dzulhijjah-tarwiyah-dan-arafah-2025-yuk-amalkan,"Bulan Dzulhijjah adalah waktu mulia untuk berpuasa. Pelajari jenis puasa, jadwal, dan niat puasa Dzulhijjah 2025 untuk meraih keutamaan ibadah.",2 jam yang lalu,detikSulsel,CPNS 2025
Panitia SNPMB: Mahasiswa Penjoki UTBK 2025 Resmi Dikeluarkan dari Kampus,https://www.detik.com/edu/seleksi-masuk-pt/d-7934818/panitia-snpmb-mahasiswa-penjoki-utbk-2025-resmi-dikeluarkan-dari-kampus,"Beberapa waktu lalu, ramai kasus mahasiswa aktif melakukan praktek perjokian UTBK SNBT 2025. Bagaimana nasib mahasiswa tersebut sekarang?",2 jam yang lalu,detikEdu,CPNS 2025
"Info Lengkap CPNS 2025, Kapan Pendaftaran Dibuka?",https://www.detik.com/jatim/berita/d-7733496/info-lengkap-cpns-2025-kapan-pendaftaran-dibuka,Pendaftaran CPNS 2025 dibuka setelah persetujuan presiden. Siapkan dokumen dan syarat pendaftaran untuk peluang karier di pelayanan publik.,"Rabu, 15 Jan 2025 15:15 WIB",detikJatim,CPNS 2025
"Prediksi Formasi CPNS 2025 Buat Lulusan SMA, Lengkap dengan Gajinya",https://www.detik.com/edu/detikpedia/d-7758825/prediksi-formasi-cpns-2025-buat-lulusan-sma-lengkap-dengan-gajinya,Cek prediksi formasi CPNS 2025 buat lulusan SMA berdasarkan formasi tahun lalu. Lengkap dengan besaran gajinya.,"Minggu, 02 Feb 2025 09:00 WIB",detikEdu,CPNS 2025
"Seleksi CPNS 2025 Siap Dibuka, Ini Perkiraan Jadwal Pendaftarannya",https://www.detik.com/edu/detikpedia/d-7745862/seleksi-cpns-2025-siap-dibuka-ini-perkiraan-jadwal-pendaftarannya,MenPAN-RB telah memastikan seleksi CPNS 2025 akan kembali diadakan. Berikut ini perkiraan kapan dimulai pendaftarannya.,"Kamis, 23 Jan 2025 11:30 WIB",detikEdu,CPNS 2025
"Cara Download Sertifikat SKD untuk CPNS 2025, Ikuti Langkah Ini!",https://www.detik.com/sumbagsel/berita/d-7702318/cara-download-sertifikat-skd-untuk-cpns-2025-ikuti-langkah-ini,"Nilai SKD 2024 dimuat dalam sertifikat resmi BKN. Berikut panduan download sertifikat SKD untuk daftar CPNS 2025, ini tautannya.","Rabu, 25 Des 2024 06:30 WIB",detikSumbagsel,CPNS 2025
"Informasi CPNS 2025: Jadwal Pendaftaran, Formasi, dan Syaratnya",https://www.detik.com/jateng/bisnis/d-7742332/informasi-cpns-2025-jadwal-pendaftaran-formasi-dan-syaratnya,Berakhirnya seleksi CPNS 2024 membuat masyarakat menantikan adanya rekrutmen CPNS 2025. Berikut rangkuman informasi seputar CPNS 2025 yang menarik diketahui.,"Selasa, 21 Jan 2025 11:50 WIB",detikJateng,CPNS 2025
Selamat! 253.421 Peserta Lolos UTBK SNBT 2025,https://www.detik.com/edu/seleksi-masuk-pt/d-7934536/selamat-253-421-peserta-lolos-utbk-snbt-2025,Sebanyak 253.421 peserta lolos UTBK SNBT 2025. Pengumuman resmi akan disampaikan pada 28 Mei 2025. Daya tampung total mencapai 284.380 kursi.,5 jam yang lalu,detikEdu,CPNS 2025
Wamensos Ungkap Penyebab Beda Standar Kemiskinan BPS dengan World Bank,https://www.detik.com/jateng/bisnis/d-7906226/wamensos-ungkap-penyebab-beda-standar-kemiskinan-bps-dengan-world-bank,Data BPS mengenai standar kemiskinan berbeda dari yang dikeluarkan Bank Dunia. Wakil Menteri Sosial Agus Jabo Priyono memberi penjelasan.,"Kamis, 08 Mei  2025 18:59 WIB",detikJateng,kemiskinan world bank
"Lahir Miskin, Hidup Susah, Kini Berharta Rp 185 Triliun",https://finance.detik.com/sosok/d-7934578/lahir-miskin-hidup-susah-kini-berharta-rp-185-triliun,"David Steward, miliarder dunia, lahir dari keluarga miskin. Dari pemulung menjadi pendiri World Wide Technology, ia membuktikan kesuksesan tak mengenal batas.",5 jam yang lalu,detikFinance,kemiskinan world bank
Luhut Buka-bukaan Kritik World Bank di Balik Lahirnya Coretax,https://finance.detik.com/berita-ekonomi-bisnis/d-7725151/luhut-buka-bukaan-kritik-world-bank-di-balik-lahirnya-coretax,"""World Bank itu mengkritik kita bahwa kita salah satu negara yang meng-collect pajaknya tidak baik, kita disamakan dengan Nigeria,"" kata Luhut.","Jumat, 10 Jan 2025 07:30 WIB",detikFinance,kemiskinan world bank
Fahri Hamzah Sebut World Bank Siap Investasi Rp 16 T buat Renovasi Rumah RI,https://www.detik.com/properti/berita/d-7880138/fahri-hamzah-sebut-world-bank-siap-investasi-rp-16-t-buat-renovasi-rumah-ri,Pemerintah mendorong renovasi rumah tidak layak huni. Wakil Menteri PKP Fahri Hamzah mengatakan World Bank siap berikan US$ 1 miliar untuk proyek ini.,"Selasa, 22 Apr 2025 13:15 WIB",detikProperti,kemiskinan world bank
Bank Sumsel Babel Perkuat Komitmen Sosial Turunkan Kemiskinan Ekstrem,https://www.detik.com/sumbagsel/bisnis/d-7565484/bank-sumsel-babel-perkuat-komitmen-sosial-turunkan-kemiskinan-ekstrem,Bank Sumsel Babel memberikan 1.000 paket sembako untuk masyarakat Sumsel. Inisiatif ini bertujuan mengatasi kemiskinan ekstrem dan menjawab tantangan ekonomi.,"Senin, 30 Sep 2024 18:34 WIB",detikSumbagsel,kemiskinan world bank
"Di Forum World Bank, Bappenas Ungkap Cara RI Lacak Anggaran",https://finance.detik.com/berita-ekonomi-bisnis/d-7905165/di-forum-world-bank-bappenas-ungkap-cara-ri-lacak-anggaran,"""Bappenas akan melakukan budget tagging untuk memastikan apakah program-program prioritas yang harus didanai,"" kata Amich.","Kamis, 08 Mei  2025 11:10 WIB",detikFinance,kemiskinan world bank
