judul,link,desc,tanggal,kategori,keyword
1.844 Siswa di Buleleng Terima Makan Bergizi Gratis Tahap Pertama,https://www.detik.com/bali/berita/d-7920877/1-844-siswa-di-buleleng-terima-makan-bergizi-gratis-tahap-pertama,"Program Makan Bergizi Gratis (MBG) diluncurkan di Buleleng, Bali, untuk 1.844 siswa. Diharapkan meningkatkan kualitas gizi anak-anak hingga 30 Mei 2025.","Senin, 19 Mei  2025 12:01 WIB",detikBali,makan bergizi gratis
Sulsel Ajukan 91 Titik Lahan SPPG demi Dukung Program Makan Bergizi Gratis,https://www.detik.com/sulsel/sulsel-ewako/d-7926218/sulsel-ajukan-91-titik-lahan-sppg-demi-dukung-program-makan-bergizi-gratis,"Pemprov Sulsel ajukan 92 titik lahan untuk SPPG, melebihi target pemerintah pusat. Program Makan Bergizi Gratis bertujuan tingkatkan gizi anak sekolah.","Kamis, 22 Mei  2025 10:30 WIB",detikSulsel,makan bergizi gratis
Menteri PU Minta ke Erick Agar CSR 3 BUMN Karya Bangun Dapur MBG,https://finance.detik.com/infrastruktur/d-7933171/menteri-pu-minta-ke-erick-agar-csr-3-bumn-karya-bangun-dapur-mbg,Menteri PU Dody Hanggodo meminta bantuan tiga BUMN Karya untuk membangun prototipe Satuan Pelayanan Pemenuhan Gizi (SPPG) atau dapur Makan Bergizi Gratis (MBG).,"Senin, 26 Mei  2025 14:20 WIB",detikFinance,makan bergizi gratis
Kepala BPOM Curhat Tak Dilibatkan Awasi Dapur Makan Bergizi Gratis,https://news.detik.com/berita/d-7915733/kepala-bpom-curhat-tak-dilibatkan-awasi-dapur-makan-bergizi-gratis,BPOM menyebut tak dilibatkan untuk mengawasi dapur-dapur MBG. BPOM baru dilibatkan secara penuh setelah kejadian luar biasa kasus keracunan siswa.,"Kamis, 15 Mei  2025 16:35 WIB",detikNews,makan bergizi gratis
PM Australia Albanese Puji Program Makan Bergizi Gratis Gagasan Prabowo,https://news.detik.com/berita/d-7915928/pm-australia-albanese-puji-program-makan-bergizi-gratis-gagasan-prabowo,"PM Albanese mengapresiasi program-program pembangunan yang meningkatkan kualitas hidup masyarakat Indonesia, salah satunya seperti program Makan Bergizi Gratis.","Kamis, 15 Mei  2025 17:48 WIB",detikNews,makan bergizi gratis
Video: BPOM Bakal Siapkan Alat Pendeteksi Makanan Beracun di SPPG,https://20.detik.com/detikupdate/20250522-250522123/video-bpom-bakal-siapkan-alat-pendeteksi-makanan-beracun-di-sppg,,"Kamis, 22 Mei  2025 17:00 WIB",20Detik,makan bergizi gratis
Daycare 'Tamasya' Kemendukbangga Akan Dapat Program Makan Bergizi Gratis,https://news.detik.com/berita/d-7915673/daycare-tamasya-kemendukbangga-akan-dapat-program-makan-bergizi-gratis,Kemendukbangga meresmikan program daycare Taman Asuh Sayang Anak (Tamasya). Program Tamasya ini untuk mempercepat pencapaian target-target prioritas.,"Kamis, 15 Mei  2025 16:04 WIB",detikNews,makan bergizi gratis
Langkah BGN Kawal Ketat Program Makan Bergizi Gratis,https://finance.detik.com/berita-ekonomi-bisnis/d-7914813/langkah-bgn-kawal-ketat-program-makan-bergizi-gratis,Kepala BGN Dadan Hindayana mengatakan kejadian keracunan di Bogor menjadi peringatan besar bagi BGN yang berencana memperluas program MBG di sekolah-sekolah.,"Kamis, 15 Mei  2025 08:40 WIB",detikFinance,makan bergizi gratis
"Cegah Kontaminasi, Distribusi Makan Bergizi Gratis Bakal Dikebut",https://www.detik.com/jabar/berita/d-7915373/cegah-kontaminasi-distribusi-makan-bergizi-gratis-bakal-dikebut,Kasus keracunan massal di sekolah akibat Makan Bergizi Gratis (MBG) melibatkan 223 pelajar di Bogor. Pemerintah berkomitmen perbaiki pengawasan dan distribusi.,"Kamis, 15 Mei  2025 16:30 WIB",detikJabar,makan bergizi gratis
BGN Minta Tambahan Rp 50 Triliun untuk Makan Bergizi Gratis 2025,https://finance.detik.com/foto-bisnis/d-7902017/bgn-minta-tambahan-rp-50-triliun-untuk-makan-bergizi-gratis-2025,,"Selasa, 06 Mei  2025 15:00 WIB",Foto Bisnis,makan bergizi gratis
Napi Lapas Ikut Jadi Kru Dapur Program Makan Bergizi Gratis,https://www.detik.com/bali/berita/d-7919990/napi-lapas-ikut-jadi-kru-dapur-program-makan-bergizi-gratis,Warga binaan Lapas Sukamiskin diberdayakan sebagai kru dapur Program Makan Bergizi Gratis. Mereka dilatih dan tersertifikasi untuk meningkatkan keterampilan.,"Minggu, 18 Mei  2025 16:38 WIB",detikBali,makan bergizi gratis
"Serangga Masuk Menu Makan Bergizi Gratis, Mungkinkah?",https://news.detik.com/kolom/d-7771753/serangga-masuk-menu-makan-bergizi-gratis-mungkinkah,Kepala Badan Gizi Nasional Dadan Hindayana mengusulkan serangga dapat dijadikan sumber protein alternatif dalam program Makan Bergizi Gratis.,"Senin, 10 Feb 2025 16:27 WIB",detikNews,makan bergizi gratis
Mendag RI-Selandia Baru Bahas Kerja Sama untuk Makan Bergizi Gratis,https://finance.detik.com/berita-ekonomi-bisnis/d-7918301/mendag-ri-selandia-baru-bahas-kerja-sama-untuk-makan-bergizi-gratis,Indonesia dan Selandia Baru membahas kerja sama di bidang pertanian dan hortikultura untuk mendukung program prioritas Indonesia Makan Bergizi Gratis (MBG).,"Sabtu, 17 Mei  2025 14:30 WIB",detikFinance,makan bergizi gratis
Ombudsman Temukan 'Calo-calo Yayasan' Terkait Makan Bergizi Gratis,https://news.detik.com/berita/d-7913498/ombudsman-temukan-calo-calo-yayasan-terkait-makan-bergizi-gratis,Anggota Ombudsman RI Yeka Hendra Fatika melakukan pertemuan dengan Kepala BGN Dadan Hidayana. Pertemuan itu membahas pengawasan program makan bergizi gratis.,"Rabu, 14 Mei  2025 12:36 WIB",detikNews,makan bergizi gratis
"Okupansi Jeblok gegara Efisiensi, Pengusaha Hotel di Jateng Menjerit",https://travel.detik.com/travel-news/d-7934985/okupansi-jeblok-gegara-efisiensi-pengusaha-hotel-di-jateng-menjerit,Anjloknya tingkat okupansi hotel di Jawa Tengah akibat efisiensi pemerintah membuat pengusaha hotel di sana menjerit.,24 menit yang lalu,detikTravel,efisiensi anggaran
"Pemerintah Hemat Anggaran, Hotel Kian Terpuruk! Ini 5 Tuntutan PHRI Jakarta",https://travel.detik.com/travel-news/d-7934326/pemerintah-hemat-anggaran-hotel-kian-terpuruk-ini-5-tuntutan-phri-jakarta,Industri perhotelan bergoyang keras karena efisiensi anggaran pemerintah. Hotel-hotel memohon keras agar usulan mereka didengar.,8 jam yang lalu,detikTravel,efisiensi anggaran
DPR RI Dukung Efisiensi Anggaran Tahun 2026: Selama Baik untuk Rakyat,https://news.detik.com/berita/d-7932062/dpr-ri-dukung-efisiensi-anggaran-tahun-2026-selama-baik-untuk-rakyat,Ketua DPR RI Puan Maharani mendukung efisiensi anggaran dalam penyusunan APBN 2026 selama yang baik untuk rakyat.,"Minggu, 25 Mei  2025 19:19 WIB",detikNews,efisiensi anggaran
Video CT Setuju soal Efisiensi Anggaran: Asal Kantong Rakyat Tebal,https://20.detik.com/detikupdate/20250413-250413079/video-ct-setuju-soal-efisiensi-anggaran-asal-kantong-rakyat-tebal,,"Minggu, 13 Apr 2025 15:21 WIB",20Detik,efisiensi anggaran
"MICE Terdampak Efisiensi Anggaran, Kemenpar Dorong Pelaku Usaha Berinovasi",https://www.detik.com/bali/nusra/d-7928339/mice-terdampak-efisiensi-anggaran-kemenpar-dorong-pelaku-usaha-berinovasi,Kemenpar mendorong pelaku pariwisata dan penyedia fasilitas MICE berinovasi di tengah kebijakan efisiensi anggaran yang dilakukan oleh pemerintah.,"Jumat, 23 Mei  2025 12:23 WIB",detikBali,efisiensi anggaran
BPJN Sambat Rob di Pantura Demak Bikin Jalan Cepat Rusak: Beban Anggaran,https://www.detik.com/jateng/berita/d-7934894/bpjn-sambat-rob-di-pantura-demak-bikin-jalan-cepat-rusak-beban-anggaran,Banjir rob yang saban tahun merendam Jalan Pantura terutama di ruas Sayung-Demak kembali menjadi sorotan. BPJN mengungkap kerugian imbas rob berulang itu.,2 jam yang lalu,detikJateng,efisiensi anggaran
Efisiensi Anggaran Dipastikan Lanjut Tahun 2026,https://finance.detik.com/berita-ekonomi-bisnis/d-7922887/efisiensi-anggaran-dipastikan-lanjut-tahun-2026,Menteri Keuangan Sri Mulyani memastikan efisiensi anggaran dalam APBN 2026.,"Selasa, 20 Mei  2025 13:47 WIB",detikFinance,efisiensi anggaran
Menteri KKP-Komisi IV DPR Bahas Efisiensi Anggaran,https://news.detik.com/foto-news/d-7880946/menteri-kkp-komisi-iv-dpr-bahas-efisiensi-anggaran,,"Selasa, 22 Apr 2025 21:30 WIB",Foto News,efisiensi anggaran
